case_id,query,alpha,tool,bm25_raw,bm25_norm,embed_cosine,embed_norm,fused_score,rank
1,帮我解析pdf文件,0.3,pdf解析,12.970799,1.0,0.714404,1.0,1.0,1
1,帮我解析pdf文件,0.3,翻译英文,0.732336,0.009938,0.196358,0.0,0.002981,2
1,帮我解析pdf文件,0.3,图片文字识别,0.609486,0.0,0.287179,0.0,0.0,
1,帮我解析pdf文件,0.3,数据库查询,0.0,0.0,0.033038,0.0,0.0,
1,帮我解析pdf文件,0.5,pdf解析,12.970799,1.0,0.714404,1.0,1.0,1
1,帮我解析pdf文件,0.5,翻译英文,0.732336,0.009938,0.196358,0.0,0.004969,2
1,帮我解析pdf文件,0.5,图片文字识别,0.609486,0.0,0.287179,0.0,0.0,
1,帮我解析pdf文件,0.5,数据库查询,0.0,0.0,0.033038,0.0,0.0,
1,帮我解析pdf文件,0.7,pdf解析,12.970799,1.0,0.714404,1.0,1.0,1
1,帮我解析pdf文件,0.7,翻译英文,0.732336,0.009938,0.196358,0.0,0.006957,2
1,帮我解析pdf文件,0.7,图片文字识别,0.609486,0.0,0.287179,0.0,0.0,
1,帮我解析pdf文件,0.7,数据库查询,0.0,0.0,0.033038,0.0,0.0,
2,把这段话转成英语,0.3,翻译英文,8.325745,1.0,0.656287,1.0,1.0,1
2,把这段话转成英语,0.3,图片文字识别,0.0,0.0,0.252734,0.074469,0.052128,2
2,把这段话转成英语,0.3,pdf解析,0.0,0.0,0.220264,0.0,0.0,
2,把这段话转成英语,0.3,数据库查询,0.0,0.0,-0.051923,0.0,0.0,
2,把这段话转成英语,0.5,翻译英文,8.325745,1.0,0.656287,1.0,1.0,1
2,把这段话转成英语,0.5,图片文字识别,0.0,0.0,0.252734,0.074469,0.037235,2
2,把这段话转成英语,0.5,pdf解析,0.0,0.0,0.220264,0.0,0.0,
2,把这段话转成英语,0.5,数据库查询,0.0,0.0,-0.051923,0.0,0.0,
2,把这段话转成英语,0.7,翻译英文,8.325745,1.0,0.656287,1.0,1.0,1
2,把这段话转成英语,0.7,图片文字识别,0.0,0.0,0.252734,0.074469,0.022341,2
2,把这段话转成英语,0.7,pdf解析,0.0,0.0,0.220264,0.0,0.0,
2,把这段话转成英语,0.7,数据库查询,0.0,0.0,-0.051923,0.0,0.0,
3,帮我看看图里有啥字,0.3,图片文字识别,4.740444,1.0,0.386308,0.815781,0.871047,1
3,帮我看看图里有啥字,0.3,翻译英文,0.0,0.0,0.410904,1.0,0.7,2
3,帮我看看图里有啥字,0.3,pdf解析,0.946036,0.0,0.277393,0.0,0.0,
3,帮我看看图里有啥字,0.3,数据库查询,0.0,0.0,-0.040679,0.0,0.0,
3,帮我看看图里有啥字,0.5,图片文字识别,4.740444,1.0,0.386308,0.815781,0.907891,1
3,帮我看看图里有啥字,0.5,翻译英文,0.0,0.0,0.410904,1.0,0.5,2
3,帮我看看图里有啥字,0.5,pdf解析,0.946036,0.0,0.277393,0.0,0.0,
3,帮我看看图里有啥字,0.5,数据库查询,0.0,0.0,-0.040679,0.0,0.0,
3,帮我看看图里有啥字,0.7,图片文字识别,4.740444,1.0,0.386308,0.815781,0.944734,1
3,帮我看看图里有啥字,0.7,翻译英文,0.0,0.0,0.410904,1.0,0.3,2
3,帮我看看图里有啥字,0.7,pdf解析,0.946036,0.0,0.277393,0.0,0.0,
3,帮我看看图里有啥字,0.7,数据库查询,0.0,0.0,-0.040679,0.0,0.0,
4,跑个sql看下数据,0.3,数据库查询,10.137685,1.0,0.734602,1.0,1.0,1
4,跑个sql看下数据,0.3,pdf解析,0.0,0.0,0.062698,0.0,0.0,
4,跑个sql看下数据,0.3,翻译英文,0.0,0.0,-0.0214,0.0,0.0,
4,跑个sql看下数据,0.3,图片文字识别,0.0,0.0,0.174034,0.0,0.0,
4,跑个sql看下数据,0.5,数据库查询,10.137685,1.0,0.734602,1.0,1.0,1
4,跑个sql看下数据,0.5,pdf解析,0.0,0.0,0.062698,0.0,0.0,
4,跑个sql看下数据,0.5,翻译英文,0.0,0.0,-0.0214,0.0,0.0,
4,跑个sql看下数据,0.5,图片文字识别,0.0,0.0,0.174034,0.0,0.0,
4,跑个sql看下数据,0.7,数据库查询,10.137685,1.0,0.734602,1.0,1.0,1
4,跑个sql看下数据,0.7,pdf解析,0.0,0.0,0.062698,0.0,0.0,
4,跑个sql看下数据,0.7,翻译英文,0.0,0.0,-0.0214,0.0,0.0,
4,跑个sql看下数据,0.7,图片文字识别,0.0,0.0,0.174034,0.0,0.0,
5,今天天气怎么样,0.3,pdf解析,0.0,0.0,-0.032082,0.0,0.0,
5,今天天气怎么样,0.3,翻译英文,0.0,0.0,0.082729,0.0,0.0,
5,今天天气怎么样,0.3,图片文字识别,0.0,0.0,-0.018304,0.0,0.0,
5,今天天气怎么样,0.3,数据库查询,0.0,0.0,0.065664,0.0,0.0,
5,今天天气怎么样,0.5,pdf解析,0.0,0.0,-0.032082,0.0,0.0,
5,今天天气怎么样,0.5,翻译英文,0.0,0.0,0.082729,0.0,0.0,
5,今天天气怎么样,0.5,图片文字识别,0.0,0.0,-0.018304,0.0,0.0,
5,今天天气怎么样,0.5,数据库查询,0.0,0.0,0.065664,0.0,0.0,
5,今天天气怎么样,0.7,pdf解析,0.0,0.0,-0.032082,0.0,0.0,
5,今天天气怎么样,0.7,翻译英文,0.0,0.0,0.082729,0.0,0.0,
